id,total_area,total_buildings,total_area_adm2,total_buildings_adm2
13991,4048.6321999999986,71,2393371.7551000016,41959
11282,8009.199599999999,313,4285445.744199992,88997
10594,11561.078799999996,174,2973187.7172000166,44655
15023,3143.8526000000015,123,5228787.03699996,102951
1297,9049.724399999996,356,2334409.3442000058,50307
14081,7683.863499999996,216,3477111.754199985,85601
11935,2595.988300000001,112,4285445.744199992,88997
1369,12475.397000000006,320,2899320.5089000068,71008
1370,12475.397000000006,320,3877497.768100021,79572
9865,4432.957700000001,77,5580689.679099988,66088
7687,1779.4576000000004,83,2677898.4160999767,49925
13064,3372.2410999999997,101,4285445.744199992,88997
7129,31953.458599999947,850,4780709.333399998,78805
5763,20938.023500000025,389,1769334.0413999925,38144
5841,3070.9987999999985,119,3477389.9073999855,53308
5842,3070.9987999999985,119,4133096.9898999697,66392
12829,3907.271599999999,134,2393371.7551000016,41959
12097,3129.5530000000003,82,4285445.744199992,88997
3929,5161.158599999998,154,1769334.0413999925,38144
15094,13144.073599999992,388,5228787.03699996,102951
3825,33637.000000000015,748,5315387.529699943,88334
11023,13751.076299999997,414,4285445.744199992,88997
10791,34757.6468,457,4633411.748299901,88044
5901,5375.0745000000015,220,5404839.839799935,120468
13855,15639.72049999999,402,5228787.03699996,102951
8992,6196.156799999998,258,4633411.748299901,88044
11983,33146.091100000005,442,6063750.6400000695,130010
4371,3485.920699999999,128,1769334.0413999925,38144
5412,44950.163500000024,734,4304857.690400043,67425
5413,44950.163500000024,734,4780709.333399998,78805
2207,5139.021699999999,207,4211450.142600003,85861
9902,89678.96489999998,1370,3901531.550699996,63528
13959,18253.990399999988,542,3477111.754199985,85601
6266,3850.0956999999976,102,4633411.748299901,88044
989,3696.4518000000007,136,3877497.768100021,79572
15328,1797.6096000000005,109,3477111.754199985,85601
8032,1976.4444000000003,86,4133096.9898999697,66392
11842,13883.521499999993,185,10500202.931499997,127209
11843,13883.521499999993,185,6112192.636499925,85381
14555,8442.375399999997,265,5228787.03699996,102951
13054,1614.1461999999995,121,4285445.744199992,88997
4044,2289.7456999999995,78,7142691.807499982,106026
4045,2289.7456999999995,78,5404839.839799935,120468
12959,3718.2022000000006,93,2393371.7551000016,41959
5628,15789.92540000001,356,4657818.107100053,85818
1845,4786.471800000002,145,4211450.142600003,85861
12297,32665.4224,544,6063750.6400000695,130010
12277,71821.96360000003,1007,2393371.7551000016,41959
10327,52808.320799999936,692,3234132.847500009,52632
2589,103467.56219999996,1847,9890180.899499815,179876
7037,10062.689299999998,258,6063750.6400000695,130010
10908,25787.533700000007,510,5692150.617499987,76981
1863,6146.597899999998,239,4211450.142600003,85861
3783,1754.7793000000001,68,4709504.632400045,92056
12436,9829.033199999996,262,6063750.6400000695,130010
11768,976.2039,59,2393371.7551000016,41959
11769,976.2039,59,4633411.748299901,88044
2450,851.3091,43,4709504.632400045,92056
3803,3614.8763999999996,162,5404839.839799935,120468
6332,3919.5698999999995,150,4133096.9898999697,66392
12935,5083.768800000001,218,5228787.03699996,102951
1482,11714.108600000001,264,9890180.899499815,179876
1483,11714.108600000001,264,2087560.6372999835,49791
5081,1680.5700999999997,77,9890180.899499815,179876
11399,12185.377199999999,510,3913823.806299989,56650
2000,5037.567999999998,191,4211450.142600003,85861
7593,6649.964499999999,109,4780709.333399998,78805
3477,811.2651000000001,24,1769334.0413999925,38144
2221,1593.6880999999996,73,4211450.142600003,85861
1168,14360.115699999997,407,3877497.768100021,79572
10299,3517.8900000000003,63,6063750.6400000695,130010
10128,30424.049999999996,524,5692150.617499987,76981
7543,448.3365,11,4133096.9898999697,66392
4951,43016.38010000005,954,5404839.839799935,120468
11972,2892.5666000000006,86,6063750.6400000695,130010
11973,2892.5666000000006,86,4633411.748299901,88044
2670,12491.202499999996,428,4709504.632400045,92056
9287,1698.4101000000007,62,3234132.847500009,52632
13371,949.8035,48,2393371.7551000016,41959
12397,33406.5469,705,4285445.744199992,88997
6387,74097.78100000008,1258,4780709.333399998,78805
5196,18644.54229999999,632,3490572.386799999,74863
6832,55852.409499999994,748,4133096.9898999697,66392
8574,39913.380599999975,879,1568223.052299989,22862
8575,39913.380599999975,879,4780709.333399998,78805
8576,39913.380599999975,879,3142890.832699973,44808
1002,35188.5185,868,2087560.6372999835,49791
8742,5488.281999999997,150,6063750.6400000695,130010
3944,3965.4256,135,9890180.899499815,179876
1465,2524.6783,79,2899320.5089000068,71008
1466,2524.6783,79,3877497.768100021,79572
4927,2054.917,81,4709504.632400045,92056
9052,22897.531899999987,312,2973187.7172000166,44655
351,12041.268000000011,474,1490683.1229000106,48635
352,12041.268000000011,474,2029721.9122000062,60235
6140,37575.6559,665,5404839.839799935,120468
6141,37575.6559,665,6059515.727200074,101426
5189,38330.2786,608,4780709.333399998,78805
854,37478.2294,973,2334409.3442000058,50307
11539,13808.679699999999,254,4633411.748299901,88044
2077,12828.608900000007,331,5496198.666799969,82377
13635,2431.6067999999996,100,2393371.7551000016,41959
1410,1440.1279000000002,53,4211450.142600003,85861
3326,5695.073300000002,118,4709504.632400045,92056
4399,7664.876399999998,179,9890180.899499815,179876
6342,108976.80890000015,1505,4133096.9898999697,66392
15204,3420.3354999999983,124,5228787.03699996,102951
2095,18472.40859999999,423,5308807.644200065,81122
14208,3877.3264999999974,142,5228787.03699996,102951
14209,3877.3264999999974,142,2393371.7551000016,41959
13733,11106.54930000001,301,5228787.03699996,102951
1079,8688.713600000006,198,3877497.768100021,79572
4602,19309.7513,340,1769334.0413999925,38144
2209,107007.53169999993,1407,4211450.142600003,85861
13240,1657.5999999999995,95,2393371.7551000016,41959
618,2228.1433000000006,80,3877497.768100021,79572
13341,17377.935399999984,555,3477111.754199985,85601
11126,6012.672400000003,247,2973187.7172000166,44655
9600,25739.22720000001,378,5580689.679099988,66088
4525,69897.79579999988,1342,3606248.4461999945,68985
4526,69897.79579999988,1342,4661382.755300033,74915
7105,6421.677,224,4657818.107100053,85818
9833,5985.793499999999,222,2973187.7172000166,44655
12971,3851.7539999999995,149,6063750.6400000695,130010
12701,3675.8365000000003,180,6063750.6400000695,130010
4603,5518.423300000002,141,1769334.0413999925,38144
4496,26850.133799999985,518,7142691.807499982,106026
1265,7592.589599999998,238,3877497.768100021,79572
10892,35841.215599999996,584,5580689.679099988,66088
11122,634.8028999999999,11,2973187.7172000166,44655
11979,2655.5912999999996,53,6063750.6400000695,130010
9014,5792.043599999999,129,6063750.6400000695,130010
15203,2355.8089,97,5228787.03699996,102951
8954,1248.8378000000002,53,2677898.4160999767,49925
13852,6108.251800000003,188,3477111.754199985,85601
7584,6417.110899999999,129,2989647.977599972,43949
7585,6417.110899999999,129,6059515.727200074,101426
6704,945.8871000000001,54,2710634.640100001,67083
11389,5429.507599999999,107,5580689.679099988,66088
11931,4168.892200000001,141,4285445.744199992,88997
2381,17855.832299999984,437,9890180.899499815,179876
2382,17855.832299999984,437,2087560.6372999835,49791
2189,5338.760400000002,192,9890180.899499815,179876
122,17420.870899999994,640,1490683.1229000106,48635
1206,7792.583700000002,243,4211450.142600003,85861
1207,7792.583700000002,243,2334409.3442000058,50307
10257,1062.9455999999998,62,4285445.744199992,88997
3906,1265.9480000000003,79,2710634.640100001,67083
11963,3073.4036,157,2393371.7551000016,41959
2833,9834.171599999994,285,4211450.142600003,85861
2263,7462.1284000000005,309,4709504.632400045,92056
2264,7462.1284000000005,309,5404839.839799935,120468
8798,9139.197799999993,377,2973187.7172000166,44655
9903,88849.81000000007,1519,3901531.550699996,63528
14369,2077.9139999999998,92,3477111.754199985,85601
7331,5194.704099999999,272,4657818.107100053,85818
3331,9366.608099999998,273,4709504.632400045,92056
12093,1709.7214,53,4285445.744199992,88997
1821,13255.855900000006,468,2087560.6372999835,49791
3799,8664.277300000002,356,5404839.839799935,120468
11560,27873.245299999988,525,13275166.61959999,165410
11561,27873.245299999988,525,6063750.6400000695,130010
11952,2116.7953,103,5228787.03699996,102951
11953,2116.7953,103,4633411.748299901,88044
5158,3335.4957999999997,121,5404839.839799935,120468
5218,69705.40330000012,1211,4453984.292599953,68839
