id,distance1,distance2,distance3,distance4,distance5,distance6,distance7,distance8,distance9,distance10
13616,1197596.6857262976,1197596.6402143352,1197596.4793107135,1197593.9118768338,1197593.9894051626,1197596.103607745,1197596.835442829,1197592.1561349186,1197596.7450122803,1197593.5753181353
13617,1197596.6857262976,1197596.6402143352,1197596.4793107135,1197593.9118768338,1197593.9894051626,1197596.103607745,1197596.835442829,1197592.1561349186,1197596.7450122803,1197593.5753181353
13618,1194886.3531032617,1194886.3077175433,1194886.1465707165,1194883.5804443283,1194883.6590807377,1194885.7717286004,1194886.5031679277,1194881.8252311328,1194886.4132214445,1194883.245545302
13619,1194886.3531032617,1194886.3077175433,1194886.1465707165,1194883.5804443283,1194883.6590807377,1194885.7717286004,1194886.5031679277,1194881.8252311328,1194886.4132214445,1194883.245545302
13620,1192177.4079398639,1192177.3626810166,1192177.2012900666,1192174.6364800995,1192174.716229535,1192176.827313152,1192177.5583540725,1192172.88180007,1192177.46889396,1192174.3032486795
13621,1192177.4079398639,1192177.3626810166,1192177.2012900666,1192174.6364800995,1192174.716229535,1192176.827313152,1192177.5583540725,1192172.88180007,1192177.46889396,1192174.3032486795
13622,1189469.8597156687,1189469.814584323,1189469.652948328,1189467.089463789,1189467.1703312255,1189469.279840994,1189470.0104808353,1189465.3353214138,1189469.9215094126,1189466.7579079603
13623,1189469.8597156687,1189469.814584323,1189469.652948328,1189467.089463789,1189467.1703312255,1189469.279840994,1189470.0104808353,1189465.3353214138,1189469.9215094126,1189466.7579079603
13624,1186763.7179918387,1186763.67298863,1186763.5111066634,1186760.948956637,1186761.0309470785,1186763.138873319,1186763.8691093852,1186759.1953564477,1186763.7806289878,1186760.6190844362
13625,1184058.9924119543,1184058.9475375218,1184058.7854086536,1184056.224602302,1184056.3077207825,1184058.4140537377,1184059.1438833105,1184054.471548874,1184059.0558962878,1184055.8964218178
13626,1181355.6927028422,1181355.6479578298,1181355.4855811251,1181352.9261276908,1181353.010379274,1181355.1151091075,1181355.844529445,1181351.1736256427,1181355.7570381619,1181352.5996470633
13627,1178653.8286754142,1178653.7840604696,1178653.6214349896,1178651.0633437943,1178651.1487335735,1178653.2518503703,1178653.9808587073,1178649.3113977895,1178653.8938655437,1178650.7385712166
13628,1175953.4102255125,1175953.3657412883,1175953.2028660902,1175950.6461465368,1175950.732679636,1175952.8341734002,1175953.562766948,1175948.8947612832,1175953.476274299,1175950.3230902548
13629,1173254.4473347683,1173254.402981921,1173254.2398560578,1173251.6845176304,1173251.772199204,1173253.8720598593,1173254.6002358047,1173249.9336978816,1173254.5142460815,1173251.3631859433
13630,1170556.950071466,1170556.905850657,1170556.7424731771,1170554.1885254425,1170554.2773606752,1170556.3755780635,1170557.10333357,1170552.4382759978,1170557.0178491983,1170553.8689267037
13631,1167860.9285914195,1167860.8845033143,1167860.7208732623,1167858.1683258705,1167858.2583199781,1167860.3548838587,1167861.082216065,1167856.4186515752,1167860.9972394868,1167857.8504684868
13632,1165166.3931388566,1165166.3491841257,1165166.1853005413,1165163.6341632265,1165163.7253214556,1165165.820221505,1165166.5471275246,1165161.8850689735,1165166.4626611979,1165163.3180556598
13633,1162473.3540473143,1162473.3102266323,1162473.146088552,1162470.5963711329,1162470.6886987614,1162472.7819245714,1162473.5084014938,1162468.8478618616,1162473.4244478918,1162470.2820218995
13634,1159781.821740543,1159781.7780545892,1159781.6136610443,1159779.0653734258,1159779.1588757632,1159781.2504168414,1159781.9764617304,1159777.3174541239,1159781.8930233428,1159778.7527910979
13635,1157091.806733421,1157091.7631828792,1157091.5985328972,1157089.051685071,1157089.146367458,1157091.2362132263,1157091.9618231207,1157087.3043607746,1157091.8789024528,1157088.7408782763
13636,1154403.3196328797,1154403.2762184385,1154403.1113110427,1154400.5659130877,1154400.6617808968,1154402.7499206904,1154403.475092603,1154398.8191888814,1154403.3926921769,1154400.2568905095
13637,1151716.3711388377,1151716.3278611898,1151716.1626953995,1151713.618757483,1151713.7158161192,1151715.8022391861,1151716.5269701038,1151711.8726385015,1151716.4450924578,1151713.3115278622
13638,1151716.3711388377,1151716.3278611898,1151716.1626953995,1151713.618757483,1151713.7158161192,1151715.8022391861,1151716.5269701038,1151711.8726385015,1151716.4450924578,1151713.3115278622
13639,1149030.972045146,1149030.92890499,1149030.763479819,1149028.2210121984,1149028.319267098,1149030.4039625984,1149031.128249482,1149026.4755036256,1149031.0468971708,1149027.915584332
13640,1146347.1332405435,1146347.090238582,1146346.924553041,1146344.3835660631,1146344.483022696,1146346.5659797005,1146347.2898194848,1146342.638673134,1146347.2089950796,1146344.079948806
13641,1143664.865709624,1143664.8228465647,1143664.6568996594,1143662.1174037624,1143662.2180676307,1143664.2992751205,1143665.0226647127,1143660.3731317632,1143664.9423708015,1143661.8156060271
13642,1140984.1805338112,1140984.137810366,1140983.9716010983,1140981.4336068125,1140981.5354834504,1140983.6149303163,1140984.3378665976,1140979.6899610807,1140984.258105785,1140981.13363757
13643,1138305.0888923465,1138305.0463092325,1138304.8798365998,1138302.3433545488,1138302.4464495245,1138304.5241245648,1138305.2466043886,1138300.6003404742,1138305.1673792966,1138302.0452228286
13644,1135627.6020632875,1135627.5596212272,1135627.3928842223,1135624.8579251235,1135624.9622440378,1135627.0381359595,1135627.7601561516,1135623.1155481485,1135627.681469419,1135624.5616400144
13645,1438879.005582058,1438878.9513032928,1438878.8080137311,1438876.1558978094,1438876.1550860354,1438878.3727210762,1438879.1303201525,1438874.3680055195,1438879.00602928,1438875.7033225887
13646,1436078.8167348658,1436078.7625411998,1436078.6190735574,1436075.9677197642,1436075.9676820626,1436078.1843574718,1436078.9417232878,1436074.1800948456,1436078.8177634988,1436075.5162781915
13647,1433279.436482786,1433279.382374582,1433279.2387282446,1433276.588141053,1433276.588880448,1433278.8045912257,1433279.561722443,1433274.8007855588,1433279.438095101,1433276.1378378118
13648,1430480.8695729603,1430480.8155505839,1430480.6717249332,1430478.0219088504,1430478.0234283826,1430480.238169494,1430480.9950647643,1430476.2348248514,1430480.8717712406,1430477.5727486517
13649,1427683.1207883675,1427683.066852186,1427682.9228466018,1427680.273806169,1427680.2761088957,1427682.4898752708,1427683.246533235,1427678.4869957534,1427683.1235749088,1427679.8257937508
13650,1424886.1949481482,1424886.1410985312,1424885.9969123902,1424883.3486521826,1424883.3517411775,1424885.5645277107,1424886.3209470003,1424881.5621174567,1424886.1983252587,1424882.9017923102
13651,1422090.0969079323,1422090.0431452517,1422089.8987779275,1422087.2513025554,1422087.2551809093,1422089.4669824585,1422090.2231616946,1422085.4650456433,1422090.1008779325,1422086.8056000217
13652,1419294.8315601703,1419294.7778848,1419294.6333356637,1419291.9866497722,1419291.9913205924,1419294.2021319796,1419294.958069773,1419290.2006728163,1419294.8361253939,1419291.5421093984
13653,1416500.4038344685,1416500.3502467847,1416500.2055152042,1416497.559623474,1416497.565089885,1416499.7749058956,1416500.530600846,1416495.7739286353,1416500.4089972612,1416497.1162501087
13654,1416500.4038344685,1416500.3502467847,1416500.2055152042,1416497.559623474,1416497.565089885,1416499.7749058956,1416500.530600846,1416495.7739286353,1416500.4089972612,1416497.1162501087
13655,1413706.8186979266,1413706.7651983078,1413706.6202836486,1413703.9751907955,1413703.9814559384,1413706.190271321,1413706.9457220186,1413702.1897802532,1413706.8244606475,1413703.5329893162
13656,1410914.0811554801,1410914.0277443072,1410913.8826459309,1410911.2383567074,1410911.2454237412,1410913.4532332069,1410914.2084382304,1410909.45323266,1410914.087520501,1410910.7973320193
13657,1408122.1962502445,1408122.142927901,1408121.997645167,1408119.354164361,1408119.362036462,1408121.5688346843,1408122.3237926022,1408117.5693290257,1408122.2032199507,1408118.9143213986
13658,1405331.169063866,1405331.1158307367,1405330.9703630018,1405328.3276954384,1405328.3363757995,1405330.5421574146,1405331.2968667846,1405326.5431510513,1405331.1766406551,1405327.8890391646
13659,1402541.0047168718,1402540.9515733449,1402540.8059199618,1402538.164070503,1402538.1735623358,1402540.3783219408,1402541.1327813093,1402536.3798193198,1402541.012903155,1402537.7266059099
13660,1399751.708369028,1399751.6553154932,1399751.5094758125,1399748.8684493578,1399748.8787558903,1399751.0824880446,1399751.8366959475,1399747.0844936536,1399751.7171672299,1399748.4321814668
13661,1396963.2852196984,1396963.2322565487,1396963.0862299176,1396960.4460314033,1396960.4571558826,1396962.659855106,1396963.4138100676,1396958.6623734732,1396963.2946322565,1396960.0109652653
13662,1394175.740508209,1394175.6876358388,1394175.5414216015,1394172.902056003,1394172.914001693,1394175.1156624667,1394175.8693630004,1394171.1186981616,1394175.7505375743,1394172.4681966985
13663,1391389.0795142143,1391389.026733021,1391388.8803305193,1391386.2418028493,1391386.2545730327,1391388.455189798,1391389.2086344059,1391384.4587474316,1391389.0901628518,1391385.8091554889
13664,1388603.3075580702,1388603.2548684536,1388603.1082770252,1388600.470592336,1388600.4841903134,1388602.6837574716,1388603.4369446442,1388598.6878416971,1388603.3188284582,1388600.0391620598
13665,1385818.4300012079,1385818.37740357,1385818.2306225502,1385815.5937859328,1385815.6082150224,1385817.806726935,1385818.5596551513,1385813.8113424485,1385818.4418958381,1385815.1635779117
13666,1383034.452246513,1383034.3997412587,1383034.2527699796,1383031.616786564,1383031.6320501033,1383033.829501091,1383034.5821688185,1383029.8346526308,1383034.4647678917,1383031.1878059998
13667,1380251.37973871,1380251.327326246,1380251.1801640366,1380248.545038993,1380248.5611403377,1380250.7575246799,1380251.5099303743,1380246.7632170282,1380251.3928893562,1380248.1172911176
13668,1377469.2179647472,1377469.1656454832,1377469.0182916697,1377466.3840302082,1377466.4009727323,1377468.5962846677,1377469.3484267727,1377464.6025226505,1377469.2317471954,1377465.9575202845
13669,1374687.9724541903,1374687.920228538,1374687.772682443,1374685.1392898147,1374685.1570769113,1374687.3513106361,1374688.1031875843,1374683.3580991237,1374687.9868709876,1374684.714023137
13670,1371907.6487796153,1371907.59664799,1371907.4489089327,1371904.8163904292,1371904.8350255103,1371907.0281751794,1371907.77978539,1371903.0355190863,1371907.6638333239,1371904.3923723237
13671,1369128.2525570102,1369128.2005198286,1369128.052587126,1369125.42094808,1369125.4404345762,1369127.632494302,1369128.383836183,1369123.6403985885,1369128.268250206,1369124.9981839038
13672,1366349.7894461772,1366349.7375038587,1366349.5893768242,1366346.9586226104,1366346.9789639718,1366349.1699278236,1366349.92099977,1366345.1783974953,1366349.8057814508,1366346.5371177527
13673,1366349.7894461772,1366349.7375038587,1366349.5893768242,1366346.9586226104,1366346.9789639718,1366349.1699278236,1366349.92099977,1366345.1783974953,1366349.8057814508,1366346.5371177527
13674,1363572.2651511405,1363572.213304108,1363572.0649820515,1363569.4351180864,1363569.4563177824,1363571.6461797864,1363572.3969801816,1363567.6552198953,1363572.2821310973,1363569.014877969
13675,1363572.2651511405,1363572.213304108,1363572.0649820515,1363569.4351180864,1363569.4563177824,1363571.6461797864,1363572.3969801816,1363567.6552198953,1363572.2821310973,1363569.014877969
13676,1360795.6854205602,1360795.6336692383,1360795.485151467,1360792.8561832097,1360792.8782447285,1360795.0669988676,1360795.817526082,1360791.0766145124,1360795.7030478192,1360792.4372132858
13677,1358020.0560481471,1358020.0043929631,1358019.8556787805,1358017.227611733,1358017.250538583,1358019.4381787959,1358020.1884311875,1358015.448375122,1358020.0743253424,1358016.8099174893
13678,1355245.3828730842,1355245.3313144685,1355245.1824031754,1355242.5552428826,1355242.5790385914,1355244.7655587727,1355245.5155346864,1355240.776340973,1355245.4018028649,1355242.1388298383
13679,1352471.6717804526,1352471.6203188382,1352471.4712097317,1352468.8449617822,1352468.8696298974,1352471.0550238967,1352471.804721665,1352467.066397213,1352471.6913654823,1352468.4298354895
13680,1349698.9287016613,1349698.8773374837,1349698.7280298579,1349696.1026998844,1349696.1282439735,1349698.3125055956,1349699.0619235379,1349694.3244753173,1349698.9489446187,1349695.688865929
13681,1346927.1596148815,1346927.1083485787,1346926.9588417243,1346924.3344354045,1346924.3608590546,1346926.5439820588,1346927.2931184808,1346922.556553525,1346927.1805184602,1346923.9218994048
13682,1344156.3705454855,1344156.3193774985,1344156.1696707031,1344153.5461937587,1344153.5735005774,1344155.7554786769,1344156.504331872,1344151.7686572762,1344156.392112394,1344153.1349613683
13683,1341386.567566491,1341386.5164972637,1341386.3665898114,1341383.74404801,1341383.7722416252,1341385.9530684869,1341386.7016367347,1341381.9668596576,1341386.589799454,1341383.3341249153
13684,1338617.7567990096,1338617.7058289882,1338617.55572016,1338614.9341193147,1338614.9632033748,1338617.1428726185,1338617.8911541852,1338613.1572818502,1338617.7797007659,1338614.525511237
13685,1335849.9444126994,1335849.8935423335,1335849.743231407,1335847.122577377,1335847.1525555507,1335849.3310607497,1335850.0790538876,1335845.3460935825,1335849.9679860042,1335846.715290072
13686,1333083.1366262243,1333083.0858559655,1333082.935342215,1333080.3156409059,1333080.3465168828,1333082.5238515628,1333083.271554511,1333078.5395135889,1333083.1608738475,1333079.909680164
