id,admin2Pcod,population,population_adm2
521,BJ0208,0,118221.17363291979
522,BJ0208,0,118221.17363291979
523,BJ0208,0,118221.17363291979
524,BJ0208,0,118221.17363291979
525,BJ0208,0,118221.17363291979
526,BJ0208,0,118221.17363291979
527,BJ0208,0,118221.17363291979
528,BJ0208,0,118221.17363291979
529,BJ0205,0,148473.9669175148
530,BJ0208,0,118221.17363291979
531,BJ0205,0,148473.9669175148
532,BJ0208,0,118221.17363291979
533,BJ0205,15.32933521270752,148473.9669175148
534,BJ0205,3.4032583236694336,148473.9669175148
535,BJ0205,864.484375,148473.9669175148
536,BJ0205,1372.62744140625,148473.9669175148
537,BJ0205,642.51812744140625,148473.9669175148
538,BJ0208,642.51812744140625,118221.17363291979
539,BJ0205,573.06463623046875,148473.9669175148
540,BJ0208,573.06463623046875,118221.17363291979
541,BJ0208,570.784912109375,118221.17363291979
542,BJ0208,263.2456970214844,118221.17363291979
543,BJ0208,354.9535217285156,118221.17363291979
544,BJ0208,404.0635070800781,118221.17363291979
545,BJ0208,2753.7509765625,118221.17363291979
546,BJ0208,1470.731201171875,118221.17363291979
547,BJ0208,957.4434814453125,118221.17363291979
548,BJ0208,225.0310516357422,118221.17363291979
549,BJ0208,172.73110961914062,118221.17363291979
550,BJ0201,172.73110961914062,93779.27038025856
551,BJ0209,172.73110961914062,127475.80545830727
552,BJ0206,182.56935119628906,131018.16272680461
553,BJ0201,182.56935119628906,93779.27038025856
554,BJ0209,182.56935119628906,127475.80545830727
555,BJ0206,85.36747741699219,131018.16272680461
556,BJ0201,85.36747741699219,93779.27038025856
557,BJ0206,20.275470733642578,131018.16272680461
558,BJ0201,20.275470733642578,93779.27038025856
559,BJ0201,654.3173828125,93779.27038025856
560,BJ0206,94.21674346923828,131018.16272680461
561,BJ0201,94.21674346923828,93779.27038025856
562,BJ0206,390.4552001953125,131018.16272680461
563,BJ0201,390.4552001953125,93779.27038025856
564,BJ0206,509.89678955078125,131018.16272680461
565,BJ0201,509.89678955078125,93779.27038025856
566,BJ0206,181.9169464111328,131018.16272680461
567,BJ0201,181.9169464111328,93779.27038025856
568,BJ0201,734.03375244140625,93779.27038025856
569,BJ0201,123.31291961669922,93779.27038025856
570,BJ0201,112.78319549560547,93779.27038025856
571,BJ0201,305.9441223144531,93779.27038025856
572,BJ0201,7.826224327087402,93779.27038025856
573,BJ0208,0,118221.17363291979
574,BJ0208,0,118221.17363291979
575,BJ0208,0,118221.17363291979
576,BJ0208,0,118221.17363291979
577,BJ0208,33.34356689453125,118221.17363291979
578,BJ0208,2.23913836479187,118221.17363291979
579,BJ0208,0,118221.17363291979
580,BJ0208,0,118221.17363291979
581,BJ0208,0,118221.17363291979
582,BJ0208,0,118221.17363291979
583,BJ0208,0,118221.17363291979
584,BJ0208,0,118221.17363291979
