id,so2,so2_adm2
11691,1.8825708359408785e-5,4.704222491789845e-6
11693,-2.5123275855986237e-6,4.704222491789845e-6
11694,-4.4726722365814534e-6,4.704222491789845e-6
11695,1.065005924740437e-5,4.704222491789845e-6
11696,4.21098607078332e-6,4.704222491789845e-6
11697,-1.0842422018125626e-5,4.704222491789845e-6
11885,4.378132367419123e-5,4.704222491789845e-6
11887,3.700423513208047e-5,4.704222491789845e-6
11888,9.167086571308186e-6,4.704222491789845e-6
11889,1.2052831310687983e-5,4.704222491789845e-6
11890,-2.435361392954429e-6,4.704222491789845e-6
11891,-1.065779137056139e-5,4.704222491789845e-6
11893,-7.873013922877517e-6,4.704222491789845e-6
12049,8.459401513498276e-6,4.704222491789845e-6
12051,2.4750493564655887e-5,4.704222491789845e-6
12052,2.7625579109086508e-5,4.704222491789845e-6
12053,1.3967889448430244e-5,4.704222491789845e-6
12054,-1.1003845110088497e-5,4.704222491789845e-6
12056,-8.286297661798428e-6,4.704222491789845e-6
12058,-6.912121914833118e-6,4.704222491789845e-6
12197,-6.879388615166237e-6,4.704222491789845e-6
12200,2.453075662527317e-6,4.704222491789845e-6
12202,2.0617714637291393e-5,4.704222491789845e-6
12203,1.3426575397148354e-5,4.704222491789845e-6
12204,-6.714087999331255e-6,4.704222491789845e-6
12351,8.720412107775085e-6,4.704222491789845e-6
12353,2.394304585166858e-5,4.704222491789845e-6
12354,3.148223749635722e-5,4.704222491789845e-6
12355,2.7275004559200272e-5,4.704222491789845e-6
12483,1.0386327410013374e-5,4.704222491789845e-6
12485,1.341705309588232e-5,4.704222491789845e-6
12487,1.667165399674162e-5,4.704222491789845e-6
12489,1.9689275806798987e-5,4.704222491789845e-6
5001,1.6296700309857248e-6,4.704222491789845e-6
5002,7.889269771502663e-6,4.704222491789845e-6
5004,3.2746907789299884e-6,4.704222491789845e-6
5226,-1.794560323387046e-7,4.704222491789845e-6
5227,-5.240977612553586e-6,4.704222491789845e-6
5228,8.071894069315203e-6,4.704222491789845e-6
5229,7.284216252898551e-6,4.704222491789845e-6
5231,7.032714905748716e-6,4.704222491789845e-6
5233,2.050618495205879e-5,4.704222491789845e-6
5458,-1.640485847403831e-5,4.704222491789845e-6
5459,-1.7626343396681815e-5,4.704222491789845e-6
5460,1.1155984302707642e-6,4.704222491789845e-6
5461,1.7136839132079726e-5,4.704222491789845e-6
5462,2.301908018735777e-5,4.704222491789845e-6
5463,1.1452945155765225e-5,4.704222491789845e-6
5464,7.192385062604211e-6,4.704222491789845e-6
5466,1.830014651468819e-5,4.704222491789845e-6
5468,1.946941397674201e-5,4.704222491789845e-6
5706,2.570825183473762e-5,4.704222491789845e-6
5707,4.437239502001683e-6,4.704222491789845e-6
5708,-5.97909280379572e-7,4.704222491789845e-6
5709,2.3143158269233994e-5,4.704222491789845e-6
5710,3.4113870319622404e-5,4.704222491789845e-6
5711,2.9268681350150496e-5,4.704222491789845e-6
5712,3.283029456883657e-5,4.704222491789845e-6
5713,1.1405847766728896e-5,4.704222491789845e-6
5714,-2.838644438378024e-6,4.704222491789845e-6
5715,-7.354134699493857e-6,4.704222491789845e-6
5717,-4.539242204033841e-6,4.704222491789845e-6
5719,-3.4568815429135115e-6,4.704222491789845e-6
5721,-1.503516769281011e-6,4.704222491789845e-6
5956,2.607078230236116e-5,4.704222491789845e-6
5957,3.2100171353971954e-5,4.704222491789845e-6
5958,1.6874879806814663e-5,4.704222491789845e-6
5959,1.2191102745461906e-5,4.704222491789845e-6
5960,2.6977206838637478e-5,4.704222491789845e-6
5961,4.3354406171019214e-5,4.704222491789845e-6
5962,3.4131823780896276e-5,4.704222491789845e-6
5963,3.194396274664378e-5,4.704222491789845e-6
5964,1.4359240363625436e-5,4.704222491789845e-6
5965,1.1275176362192475e-5,4.704222491789845e-6
5966,-5.318909669188203e-7,4.704222491789845e-6
5967,-5.252530263733524e-6,4.704222491789845e-6
5968,-7.683047079003696e-6,4.704222491789845e-6
5969,4.064945307092661e-7,4.704222491789845e-6
