hhid,grappe,menage,vague,hhweight,hhsize,lat,lon,insecure
22059,22,59,2,412.31115429927434,7,11.1723810201511,3.06294623762369,1
22067,22,67,2,412.31115429927434,6,11.1723810201511,3.06294623762369,1
22075,22,75,2,412.31115429927434,5,11.1723810201511,3.06294623762369,1
22091,22,91,2,412.31115429927434,6,11.1723810201511,3.06294623762369,1
22099,22,99,2,412.31115429927434,5,11.1723810201511,3.06294623762369,1
22107,22,107,2,412.31115429927434,8,11.1723810201511,3.06294623762369,1
22123,22,123,2,412.31115429927434,11,11.1723810201511,3.06294623762369,1
23006,23,6,1,354.19653946320216,14,10.9317053994164,2.74399713613093,0
23013,23,13,1,354.19653946320216,3,10.9317053994164,2.74399713613093,1
23021,23,21,1,354.19653946320216,8,10.9317053994164,2.74399713613093,1
23029,23,29,1,354.19653946320216,17,10.9317053994164,2.74399713613093,0
23036,23,36,1,354.19653946320216,14,10.9317053994164,2.74399713613093,1
23044,23,44,1,354.19653946320216,8,10.9317053994164,2.74399713613093,0
23051,23,51,1,354.19653946320216,9,10.9317053994164,2.74399713613093,1
23059,23,59,1,354.19653946320216,13,10.9317053994164,2.74399713613093,0
23066,23,66,1,354.19653946320216,10,10.9317053994164,2.74399713613093,0
23074,23,74,1,354.19653946320216,10,10.9317053994164,2.74399713613093,1
23082,23,82,1,354.19653946320216,18,10.9317053994164,2.74399713613093,0
23089,23,89,1,354.19653946320216,10,10.9317053994164,2.74399713613093,1
24007,24,7,2,139.454220121519,8,11.0872167348862,2.75831485167146,1
24017,24,17,2,139.454220121519,5,11.0872167348862,2.75831485167146,1
24037,24,37,2,139.454220121519,6,11.0872167348862,2.75831485167146,0
24046,24,46,2,139.454220121519,7,11.0872167348862,2.75831485167146,0
24056,24,56,2,139.454220121519,1,11.0872167348862,2.75831485167146,0
24075,24,75,2,139.454220121519,5,11.0872167348862,2.75831485167146,0
24085,24,85,2,139.454220121519,4,11.0872167348862,2.75831485167146,1
24095,24,95,2,139.454220121519,3,11.0872167348862,2.75831485167146,1
24114,24,114,2,139.454220121519,1,11.0872167348862,2.75831485167146,1
24124,24,124,2,139.454220121519,6,11.0872167348862,2.75831485167146,1
24133,24,133,2,139.454220121519,6,11.0872167348862,2.75831485167146,1
24153,24,153,2,139.454220121519,8,11.0872167348862,2.75831485167146,1
25008,25,8,1,235.30446930810473,6,11.9347937777638,3.23158057406545,1
25016,25,16,1,235.30446930810473,6,11.9347937777638,3.23158057406545,1
25023,25,23,1,235.30446930810473,10,11.9347937777638,3.23158057406545,1
25031,25,31,1,235.30446930810473,8,11.9347937777638,3.23158057406545,1
25039,25,39,1,235.30446930810473,9,11.9347937777638,3.23158057406545,1
25047,25,47,1,235.30446930810473,5,11.9347937777638,3.23158057406545,1
25055,25,55,1,235.30446930810473,6,11.9347937777638,3.23158057406545,1
25063,25,63,1,235.30446930810473,3,11.9347937777638,3.23158057406545,1
25070,25,70,1,235.30446930810473,9,11.9347937777638,3.23158057406545,1
25078,25,78,1,235.30446930810473,4,11.9347937777638,3.23158057406545,1
25086,25,86,1,235.30446930810473,6,11.9347937777638,3.23158057406545,1
25094,25,94,1,235.30446930810473,9,11.9347937777638,3.23158057406545,1
26005,26,5,2,137.196311994474,6,12.2162396879867,2.97532475553453,1
26015,26,15,2,137.196311994474,6,12.2162396879867,2.97532475553453,1
26020,26,20,2,137.196311994474,4,12.2162396879867,2.97532475553453,1
26025,26,25,2,137.196311994474,5,12.2162396879867,2.97532475553453,1
26036,26,36,2,137.196311994474,5,12.2162396879867,2.97532475553453,1
26041,26,41,2,137.196311994474,5,12.2162396879867,2.97532475553453,1
26046,26,46,2,137.196311994474,5,12.2162396879867,2.97532475553453,1
26056,26,56,2,137.196311994474,2,12.2162396879867,2.97532475553453,1
26061,26,61,2,137.196311994474,6,12.2162396879867,2.97532475553453,1
26066,26,66,2,137.196311994474,11,12.2162396879867,2.97532475553453,1
26076,26,76,2,137.196311994474,4,12.2162396879867,2.97532475553453,1
26081,26,81,2,137.196311994474,9,12.2162396879867,2.97532475553453,1
27005,27,5,1,200.53878374462968,8,12.2915673,2.945497,1
27012,27,12,1,200.53878374462968,7,12.2915673,2.945497,1
27019,27,19,1,200.53878374462968,8,12.2915673,2.945497,0
27026,27,26,1,200.53878374462968,6,12.2915673,2.945497,1
27033,27,33,1,200.53878374462968,5,12.2915673,2.945497,0
27040,27,40,1,200.53878374462968,14,12.2915673,2.945497,1
27047,27,47,1,200.53878374462968,13,12.2915673,2.945497,1
27054,27,54,1,200.53878374462968,9,12.2915673,2.945497,0
27061,27,61,1,200.53878374462968,8,12.2915673,2.945497,0
27069,27,69,1,200.53878374462968,7,12.2915673,2.945497,1
27076,27,76,1,200.53878374462968,14,12.2915673,2.945497,1
27083,27,83,1,200.53878374462968,7,12.2915673,2.945497,1
28005,28,5,2,249.9708506389934,4,11.8410465493798,3.44813978299499,0
28012,28,12,2,249.9708506389934,12,11.8410465493798,3.44813978299499,1
28027,28,27,2,249.9708506389934,8,11.8410465493798,3.44813978299499,0
28034,28,34,2,249.9708506389934,8,11.8410465493798,3.44813978299499,1
28041,28,41,2,249.9708506389934,7,11.8410465493798,3.44813978299499,1
28056,28,56,2,249.9708506389934,13,11.8410465493798,3.44813978299499,1
28063,28,63,2,249.9708506389934,2,11.8410465493798,3.44813978299499,0
28070,28,70,2,249.9708506389934,8,11.8410465493798,3.44813978299499,1
28085,28,85,2,249.9708506389934,15,11.8410465493798,3.44813978299499,1
28092,28,92,2,249.9708506389934,5,11.8410465493798,3.44813978299499,1
28099,28,99,2,249.9708506389934,9,11.8410465493798,3.44813978299499,1
28114,28,114,2,249.9708506389934,5,11.8410465493798,3.44813978299499,1
29005,29,5,1,260.61330309099003,9,11.7587341,3.3165372,1
29011,29,11,1,260.61330309099003,6,11.7587341,3.3165372,1
29017,29,17,1,260.61330309099003,16,11.7587341,3.3165372,0
29024,29,24,1,260.61330309099003,8,11.7587341,3.3165372,1
29030,29,30,1,260.61330309099003,3,11.7587341,3.3165372,0
29036,29,36,1,260.61330309099003,6,11.7587341,3.3165372,0
29042,29,42,1,260.61330309099003,4,11.7587341,3.3165372,1
29049,29,49,1,260.61330309099003,1,11.7587341,3.3165372,0
29055,29,55,1,260.61330309099003,3,11.7587341,3.3165372,0
29061,29,61,1,260.61330309099003,5,11.7587341,3.3165372,1
29067,29,67,1,260.61330309099003,6,11.7587341,3.3165372,1
29074,29,74,1,260.61330309099003,5,11.7587341,3.3165372,0
30007,30,7,2,315.10354047179646,6,11.7256108112633,3.22465586476028,1
30017,30,17,2,315.10354047179646,8,11.7256108112633,3.22465586476028,0
30036,30,36,2,315.10354047179646,5,11.7256108112633,3.22465586476028,1
30046,30,46,2,315.10354047179646,1,11.7256108112633,3.22465586476028,0
30055,30,55,2,315.10354047179646,8,11.7256108112633,3.22465586476028,0
30074,30,74,2,315.10354047179646,4,11.7256108112633,3.22465586476028,1
30084,30,84,2,315.10354047179646,3,11.7256108112633,3.22465586476028,1
30093,30,93,2,315.10354047179646,2,11.7256108112633,3.22465586476028,0
30112,30,112,2,315.10354047179646,1,11.7256108112633,3.22465586476028,0
30122,30,122,2,315.10354047179646,7,11.7256108112633,3.22465586476028,1
30132,30,132,2,315.10354047179646,16,11.7256108112633,3.22465586476028,1
30151,30,151,2,315.10354047179646,5,11.7256108112633,3.22465586476028,1
31001,31,1,1,266.3910508481959,6,11.3963811,3.4470214,0
31011,31,11,1,266.3910508481959,3,11.3963811,3.4470214,1
31022,31,22,1,266.3910508481959,7,11.3963811,3.4470214,0
31032,31,32,1,266.3910508481959,3,11.3963811,3.4470214,1
31042,31,42,1,266.3910508481959,3,11.3963811,3.4470214,1
31053,31,53,1,266.3910508481959,11,11.3963811,3.4470214,0
31063,31,63,1,266.3910508481959,5,11.3963811,3.4470214,1
31073,31,73,1,266.3910508481959,4,11.3963811,3.4470214,0
31084,31,84,1,266.3910508481959,6,11.3963811,3.4470214,0
31094,31,94,1,266.3910508481959,4,11.3963811,3.4470214,0
31104,31,104,1,266.3910508481959,5,11.3963811,3.4470214,1
31115,31,115,1,266.3910508481959,4,11.3963811,3.4470214,0
32001,32,1,2,221.50826473354346,6,11.809464963153,3.38252917863429,0
32026,32,26,2,221.50826473354346,10,11.809464963153,3.38252917863429,0
32038,32,38,2,221.50826473354346,11,11.809464963153,3.38252917863429,0
32050,32,50,2,221.50826473354346,5,11.809464963153,3.38252917863429,1
32074,32,74,2,221.50826473354346,10,11.809464963153,3.38252917863429,1
32086,32,86,2,221.50826473354346,6,11.809464963153,3.38252917863429,1
32098,32,98,2,221.50826473354346,3,11.809464963153,3.38252917863429,1
32123,32,123,2,221.50826473354346,7,11.809464963153,3.38252917863429,1
32135,32,135,2,221.50826473354346,6,11.809464963153,3.38252917863429,1
32147,32,147,2,221.50826473354346,3,11.809464963153,3.38252917863429,1
32171,32,171,2,221.50826473354346,11,11.809464963153,3.38252917863429,1
